"country","iso_code","year","VoiceandAccountability","Political StabilityNoViolence","GovernmentEffectiveness","RegulatoryQuality","RuleofLaw","ControlofCorruption"
"Algeria","DZA",2000,-1.11005222797394,-1.43200981616974,-0.963840961456299,-0.705385804176331,-1.2113356590271,-0.937911093235016
"Algeria","DZA",2001,-1.07735621929169,-1.53262180089951,-0.780680358409882,-0.644428730010986,-0.920747131109238,-0.906796097755432
"Algeria","DZA",2002,-1.04466021060944,-1.63323378562927,-0.597519755363464,-0.583471655845642,-0.630158603191376,-0.875681102275848
"Algeria","DZA",2003,-1.07671809196472,-1.75362718105316,-0.612372875213623,-0.517234146595001,-0.587644040584564,-0.692261159420013
"Algeria","DZA",2004,-0.802059054374695,-1.3595210313797,-0.572630763053894,-0.544126510620117,-0.620909214019775,-0.679477989673615
"Algeria","DZA",2005,-0.715685963630676,-0.915213346481323,-0.467567503452301,-0.383398562669754,-0.750832140445709,-0.482172012329102
"Algeria","DZA",2006,-0.916875541210175,-1.12645280361176,-0.472641259431839,-0.571554183959961,-0.708591282367706,-0.521335124969482
"Algeria","DZA",2007,-0.984122395515442,-1.14836001396179,-0.565725445747375,-0.622034013271332,-0.772745668888092,-0.559928894042969
"Algeria","DZA",2008,-0.979712247848511,-1.09398949146271,-0.626526653766632,-0.794613838195801,-0.741468846797943,-0.594569385051727
"Algeria","DZA",2009,-1.03843104839325,-1.19707822799683,-0.582936942577362,-1.07380270957947,-0.793536186218262,-0.577883422374725
"Algeria","DZA",2010,-1.02233839035034,-1.25936758518219,-0.479578405618668,-1.17103445529938,-0.784934520721436,-0.524987280368805
"Algeria","DZA",2011,-1.00412118434906,-1.36056065559387,-0.564622282981873,-1.18957388401031,-0.807625412940979,-0.544560372829437
"Algeria","DZA",2012,-0.906026601791382,-1.32504332065582,-0.532401323318481,-1.27686846256256,-0.772241532802582,-0.503251791000366
"Algeria","DZA",2013,-0.893353223800659,-1.20237147808075,-0.534467875957489,-1.16597008705139,-0.689426302909851,-0.47333699464798
"Algeria","DZA",2014,-0.815198063850403,-1.19053518772125,-0.47800600528717,-1.28296232223511,-0.77327036857605,-0.599998831748962
"Algeria","DZA",2015,-0.849065184593201,-1.0901597738266,-0.50112783908844,-1.17360472679138,-0.864008247852325,-0.645611464977264
"Algeria","DZA",2016,-0.862889289855957,-1.09752571582794,-0.53130441904068,-1.17187881469727,-0.857603907585144,-0.677760064601898
"Argentina","ARG",2000,0.418346971273422,0.0993587598204613,0.0321771390736103,0.25724458694458,-0.149922728538513,-0.192118763923645
"Argentina","ARG",2001,0.339204862713814,-0.340028304606676,-0.124090095981956,-0.330890327692032,-0.45395889878273,-0.330164968967438
"Argentina","ARG",2002,0.260062754154205,-0.779415369033813,-0.280357331037521,-0.919025242328644,-0.757995069026947,-0.46821117401123
"Argentina","ARG",2003,0.349125266075134,-0.358941167593002,-0.0474383421242237,-0.708925664424896,-0.773514151573181,-0.478336334228516
"Argentina","ARG",2004,0.362040877342224,-0.609955668449402,-0.0575690716505051,-0.71375983953476,-0.807372510433197,-0.424991339445114
"Argentina","ARG",2005,0.269231677055359,-0.0417680591344833,-0.124214522540569,-0.548367202281952,-0.554654777050018,-0.388192415237427
"Argentina","ARG",2006,0.40343651175499,0.00305569847114384,-0.0455042384564877,-0.64063173532486,-0.568944036960602,-0.341253697872162
"Argentina","ARG",2007,0.448621332645416,0.0988585129380226,-0.015958933159709,-0.668215572834015,-0.591604113578796,-0.340291649103165
"Argentina","ARG",2008,0.358895927667618,-0.0852221846580505,-0.146811857819557,-0.737520456314087,-0.676608085632324,-0.435576528310776
"Argentina","ARG",2009,0.280047506093979,-0.232405573129654,-0.318264842033386,-0.84503561258316,-0.675477802753448,-0.444996058940887
"Argentina","ARG",2010,0.361689448356628,-0.0847978666424751,-0.16286227107048,-0.762368559837341,-0.590495407581329,-0.361560165882111
"Argentina","ARG",2011,0.344941824674606,0.158993661403656,-0.120088316500187,-0.722209930419922,-0.560863256454468,-0.366130083799362
"Argentina","ARG",2012,0.295209914445877,0.103040546178818,-0.238666549324989,-0.929217159748077,-0.679646551609039,-0.443185955286026
"Argentina","ARG",2013,0.276987880468369,0.0653142631053925,-0.277767658233643,-0.957261025905609,-0.707728445529938,-0.432139277458191
"Argentina","ARG",2014,0.345320522785187,-0.00512187136337161,-0.159526452422142,-1.07425677776337,-0.886138796806335,-0.541584193706512
"Argentina","ARG",2015,0.411787539720535,0.014785380102694,-0.0752744078636169,-0.911441922187805,-0.770878255367279,-0.547077298164368
"Argentina","ARG",2016,0.493350893259048,0.204625502228737,0.161878138780594,-0.469625324010849,-0.393746942281723,-0.28393092751503
"Australia","AUS",2000,1.47130513191223,1.33455240726471,1.810187458992,1.63724899291992,1.75140726566315,1.92324602603912
"Australia","AUS",2001,1.43926918506622,1.26373147964478,1.76456516981125,1.55238395929337,1.77569848299026,1.86643707752228
"Australia","AUS",2002,1.40723323822021,1.19291055202484,1.71894288063049,1.46751892566681,1.79998970031738,1.80962812900543
"Australia","AUS",2003,1.44212782382965,0.878802061080933,1.83764338493347,1.60783743858337,1.88204908370972,1.94985389709473
"Australia","AUS",2004,1.50154197216034,0.936502933502197,2.00677752494812,1.72160685062408,1.81557154655457,2.02876114845276
