"country","iso_code","year","gdp","population","electricity_generation","per_capita_electricity","biofuel_electricity","coal_electricity","gas_electricity","oil_electricity","hydro_electricity","nuclear_electricity","solar_electricity","wind_electricity","other_renewable_exc_biofuel_electricity","coal_production","gas_production","oil_production","biofuel_consumption","coal_consumption","gas_consumption","oil_consumption","hydro_consumption","nuclear_consumption","primary_energy_consumption","solar_consumption","wind_consumption","biofuel_share_elec","coal_share_elec","gas_share_elec","oil_share_elec","hydro_share_elec","nuclear_share_elec","solar_share_elec","wind_share_elec","energy_cons_change_pct","energy_cons_change_twh","energy_per_gdp","energy_per_capita"
"Algeria","DZA",2000,252000000000,31042000,23.89,769.587,0,0,23.837,0,0.053,0,0,0,0,0,918.887,775.472,0,5.641,191.013,103.133,0.15,0,299.936,0,0,0,0,99.778,0,0.222,0,0,0,-3.681,-11.462,1.19,9662.271
"Algeria","DZA",2001,252000000000,31452000,25.031,795.836,0,0,24.963,0,0.068,0,0,0,0,0,864.726,763.443,0,6.513,197.322,106.775,0.19,0,310.801,0,0,0,0,99.728,0,0.272,0,0,0,3.622,10.865,1.233,9881.754
"Algeria","DZA",2002,266000000000,31855000,25.992,815.933,0,0,25.936,0,0.056,0,0,0,0,0,889.417,823.159,0,8.548,194.839,118.397,0.156,0,321.941,0,0,0,0,99.785,0,0.215,0,0,0,3.584,11.14,1.21,10106.442
"Algeria","DZA",2003,289000000000,32264000,27.81,861.94,0,0,27.548,0,0.262,0,0,0,0,0,938.577,917.337,0,7.048,205.932,123.174,0.722,0,336.876,0,0,0,0,99.058,0,0.942,0,0,0,4.639,14.935,1.166,10441.229
"Algeria","DZA",2004,308000000000,32692000,29.387,898.907,0,0,29.139,0,0.248,0,0,0,0,0,920.55,970.121,0,8.408,211.899,128.747,0.679,0,349.734,0,0,0,0,99.156,0,0.844,0,0,0,3.817,12.858,1.136,10697.854
"Algeria","DZA",2005,354000000000,33150000,31.907,962.516,0,0,31.358,0,0.549,0,0,0,0,0,849.118,1003.638,0,6.908,223.56,134.213,1.494,0,366.175,0,0,0,0,98.279,0,1.721,0,0,0,4.701,16.441,1.034,11046.017
"Algeria","DZA",2006,386000000000,33641000,33.124,984.618,0,0,32.908,0,0.216,0,0,0,0,0,812.996,1000.902,0,10.258,228.498,139.846,0.582,0,379.183,0,0,0,0,99.348,0,0.652,0,0,0,3.552,13.007,0.982,11271.449
"Algeria","DZA",2007,398000000000,34167000,34.976,1023.672,0,0,34.752,0,0.224,0,0,0,0,0,816.461,1004.153,0,8.804,233.807,156.39,0.6,0,399.601,0,0,0,0,99.36,0,0.64,0,0,0,5.385,20.419,1.004,11695.535
"Algeria","DZA",2008,423000000000,34731000,37.836,1089.396,0,0,37.556,0,0.28,0,0,0,0,0,826.009,984.17,0,8.804,244.042,169.916,0.747,0,423.509,0,0,0,0,99.26,0,0.74,0,0,0,5.983,23.908,1.001,12193.979
"Algeria","DZA",2009,392000000000,35334000,36.206,1024.679,0,0,35.903,0,0.303,0,0,0,0,0,765.669,896.773,0,5.652,262.118,180.135,0.897,0,448.802,0,0,0,0,99.163,0,0.837,0,0,0,5.972,25.293,1.145,12701.699
"Algeria","DZA",2010,448000000000,35977000,42.998,1195.166,0,0,42.826,0,0.172,0,0,0,0,0,773.966,856.61,0,3.605,253.272,180.049,0.451,0,437.402,0.024,0,0,0,99.6,0,0.4,0,0,0,-2.54,-11.4,0.976,12157.811
"Algeria","DZA",2011,482000000000,36661000,48.176,1314.088,0,0,47.679,0,0.497,0,0,0,0,0,795.988,832.227,0,3.198,267.97,192.228,0.98,0,464.422,0.047,0,0,0,98.968,0,1.032,0,0,0,6.178,27.021,0.964,12668.024
"Algeria","DZA",2012,493000000000,37384000,53.985,1444.056,0,0,53.368,0,0.616,0,0,0,0,0,784.438,780.407,0,3.396,298.741,204.395,1.002,0,507.603,0.069,0,0,0,98.859,0,1.141,0,0,0,9.298,43.181,1.03,13578.086
"Algeria","DZA",2013,493000000000,38140000,56.314,1476.494,0,0,55.986,0,0.327,0,0,0,0,0,793.389,752.215,0,1.838,321.215,213.577,0.253,0,536.956,0.073,0,0,0,99.419,0,0.581,0,0,0,5.783,29.353,1.089,14078.557
"Algeria","DZA",2014,494000000000,38924000,60.401,1551.763,0,0,60.149,0,0.251,0,0,0.001,0,0,801.725,798.508,0,2.082,360.919,221.925,0.491,0,585.572,0.153,0.003,0,0,99.583,0,0.416,0,0,0.002,9.054,48.616,1.185,15043.984
"Algeria","DZA",2015,513000000000,39728000,64.682,1628.132,0,0,64.461,0,0.144,0,0.058,0.019,0,0,814.112,780.558,0,1.547,379.225,236.149,0.367,0,617.482,0.147,0.048,0,0,99.658,0,0.223,0,0.09,0.029,5.449,31.91,1.204,15542.75
"Algeria","DZA",2016,534000000000,40551000,66.755,1646.2,0,0,66.423,0,0.216,0,0.087,0.029,0,0,913.923,794.398,0,0.57,385.963,229.441,0.181,0,616.819,0.616,0.048,0,0,99.503,0,0.323,0,0.13,0.043,-0.107,-0.663,1.155,15210.944
"Argentina","ARG",2000,557000000000,36871000,85.24,2311.846,0.68,1.855,45.125,3.074,28.486,5.985,0,0.035,0,0,363.813,480.09,0,7.513,322.968,241.977,94.539,17.158,686.126,0,0.097,0.798,2.176,52.939,3.606,33.419,7.021,0,0.041,4.039,26.637,1.232,18608.827
"Argentina","ARG",2001,525000000000,37276000,86.501,2320.566,0.62,1.433,40.126,1.079,36.653,6.541,0,0.049,0,0,361.187,510.067,0,6.157,302.35,233.114,115.642,19.481,678.563,0,0.136,0.717,1.657,46.387,1.248,42.373,7.562,0,0.057,-1.102,-7.563,1.293,18203.75
