subject_uuid,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_strain,subject_source,protocol_number,subject_description,subject_ts
00778394-c956-408d-8a6c-ca3b05a611d5,KS019,F,2019-04-30,,C57BL/6J,,,3,,2020-01-13 23:39:00
019a22c1-b944-4494-9e38-0e45ae6697bf,SWC_022,M,2019-06-18,NA (Front HP),C57BL/6J,,Charles River,4,ID: 990762,2020-01-13 23:39:01
01be78e7-8741-4b40-bd64-79ed745431b5,CSHL057,M,2019-10-15,L,C57BL/6J,,Jax,3,,2020-01-13 23:39:01
02120449-9b19-4276-a434-513886c2fb19,ibl_witten_07,F,2018-11-13,,C57BL/6J,,Jax,3,,2020-01-13 23:39:01
030f3e05-9db0-46ba-a6ce-4274ff09b39e,KS031,M,2019-12-10,,C57BL/6J,,,3,,2020-09-24 00:07:31
034fd43f-ee35-450b-99ef-25475ce25fdc,ZM_1092,M,2018-10-23,RLF,C57BL/6J,,Jax,3,,2020-01-13 23:39:02
05e97eea-64e2-4e52-a78a-5b78875b4fa3,KS004,F,2018-12-04,,C57BL/6J,,,3,,2020-01-13 23:39:03
0812d02d-d62b-416d-8b66-7956db34ee32,ibl_witten_19,M,2019-11-13,N/A,C57BL/6J,,Jax,3,,2020-09-24 00:07:31
082fa374-a10c-4c47-9c50-1c23e7490e30,SWC_038,F,2019-12-11,X,C57BL/6J,,Charles River,4,,2020-09-24 00:07:31
088b6898-0a86-435e-b91f-eab829a846f6,SWC_005,M,2019-02-05,NA (Rear HP),C57BL/6J,,Charles River,4,ID: 919175,2019-09-18 01:17:36
0932d382-3fd4-4688-88d1-a0156cadd488,CSH_ZAD_007,M,2019-05-06,L,C57BL/6J,,Jax,3,,2020-01-13 23:39:05
0936a724-2151-446f-98b2-92c3e9dd36dc,CSHL_007,F,2018-11-27,L,C57BL/6J,,Jax,3,,2020-01-13 23:39:05
09fcd0c3-6c6f-4245-81e2-a82b034c7a0a,ZFM-02372,F,2020-12-20,tip,C57BL/6J,C57BL/6J,Charles River,3,,2021-03-10 04:31:15
0a47477d-e76f-43d8-a5b3-9b985707ad3f,DY_013,M,2019-10-23,none,C57BL/6J,,Jax,3,,2020-09-24 00:07:31
0bde9528-5bed-4ba5-a95a-a250cd769bbe,SWC_029,F,2019-08-16,R,,,,1,,2020-01-13 23:39:06
0cd0b05f-fbee-40c0-b2e2-07708c90dead,DY_015,M,2019-10-23,none,C57BL/6J,,Jax,3,,2020-09-24 00:07:32
0d219ef3-6282-4602-b99f-a40d06d99bb2,SWC_002,F,2019-01-19,L (Front HP),C57BL/6J,,Charles River,4,ID: 919178,2020-01-13 23:39:06
0d7d50d7-41c4-4bb9-bf67-d51f0dc83faa,ibl_witten_23,F,2019-12-03,NA,C57BL/6J,,Jax,3,,2020-09-24 00:07:32
0f47b24d-3909-428c-a18d-666006c7c834,NYU-11,F,2019-07-23,0,,,,1,,2020-01-13 23:39:07
0fbb1324-1ac7-445a-8831-8fc2225338ca,CSH_ZAD_010,M,2019-05-06,none,C57BL/6J,,Jax,3,,2020-01-13 23:39:07
10fd3170-6c52-4cb6-986f-aa73704277c0,CSHL_015,F,2019-02-19,,C57BL/6J,,Jax,3,,2019-09-18 01:17:36
12385eb1-eb86-496d-91c6-a4bd7392376a,ibl_witten_18,M,2019-11-13,N/A,C57BL/6J,,Jax,3,,2020-09-24 00:07:32
1308692a-7616-4147-b627-897ebec9c3b1,SWC_035,M,2019-10-22,NA,C57BL/6J,,Charles River,1,,2020-09-24 00:07:32
13e59361-a2e8-4e2d-8636-ae0961fd941c,ZM_1093,M,2018-10-23,,C57BL/6J,,Jax,3,,2020-01-13 23:39:10
15f98ab5-20d8-4345-a5de-21912a39575f,CSHL047,M,2019-08-06,L,C57BL/6J,,Jax,3,,2020-01-13 23:39:11
1627878b-0863-4241-9396-43f89d6d70af,DY_010,M,2019-09-08,none,C57BL/6J,,Jax,1,,2020-01-13 23:39:11
16816978-d32d-4647-83b4-055fcf993bf8,NYU-20,F,2019-10-15,,,,,1,,2020-01-13 23:39:11
17715189-8c56-4c3a-81c6-eec2f68bbf10,NYU-23,M,2020-01-07,,C57BL/6J,,Jax,1,,2020-09-24 00:07:32
18a54f60-534b-4ed5-8bda-b434079b8ab8,KS014,M,2019-06-18,,C57BL/6J,,,3,,2019-09-18 01:17:37
19943d5d-7804-459b-84a7-9e2c5627402c,CSH_ZAD_024,M,2019-11-12,RR,C57BL/6J,,Jax,3,,2020-09-24 00:07:32
19cf7867-e2d2-4a12-93be-9371fe1a293c,CSHL_010,F,2018-11-27,"left, left",C57BL/6J,,Jax,3,,2019-09-18 01:17:37
1a08c0fa-5646-4b68-9703-0dd6b805c69d,SWC_007,M,2019-03-27,NA (Rear HP),C57BL/6J,,Charles River,4,,2020-01-13 23:39:12
1a460fd9-7ec5-4bb2-9cd8-9d1746f165a5,KS044,M,2020-07-08,,C57BL/6J,C57BL/6J,,2,,2020-09-19 06:50:08
1a848a26-7945-45ae-a749-2a10b3ec602c,DY_018,M,2020-05-13,none,C57BL/6J,C57BL/6J,Jax,3,,2020-07-24 05:00:01
1a8fa9b4-399b-4175-8c32-e552aaa2541b,ZM_1373,F,2018-12-31,,C57BL/6J,,Jax,3,,2020-01-13 23:39:12
1bb0fc3d-46d1-4dfb-b3e8-733e588a5f32,KS030,M,2019-12-10,,C57BL/6J,,,3,,2020-09-24 00:07:32
1d1e50b4-bbc9-46f6-acf9-f0fe16c3849e,ZM_3004,F,2019-11-10,F,C57BL/6J,,Charles River,3,,2020-09-24 00:07:33
20086e93-a271-4a57-89fc-15604d8e92c0,CSH_ZAD_022,M,2019-11-12,LR,C57BL/6J,,Jax,3,,2020-09-24 00:07:33
204d40b0-7ea8-49b3-835c-05b47ec8801b,ZM_1746,M,2019-02-24,RF,C57BL/6J,,Jax,3,,2020-01-13 23:39:14
20ed6bed-9bfd-44f9-8c57-a9344e206cfd,ZM_2245,F,2019-08-12,RF,C57BL/6J,,Charles River,1,,2020-01-13 23:39:14
217d49ae-ada9-48be-a77e-9704c9e57855,NYU-01,M,2018-12-18,1,,,,3,,2020-01-13 23:39:14
221b68e7-0014-46ae-b8af-308665d8b478,CSHL053,F,2019-08-13,,C57BL/6J,,Jax,3,,2020-01-13 23:39:15
2714cd11-363a-44bd-b57d-c91870ad0671,NYU-14,F,2019-08-27,14,,,,1,,2020-01-13 23:39:16
274bb80c-2acc-470a-bfb4-24d38a1b3d06,ibl_witten_06,M,2018-11-06,RL,C57BL/6J,,Jax,3,,2020-01-13 23:39:16
27d08c9d-6013-42d8-bab5-1e788f230b2e,SWC_001,F,2019-01-19,R (Front HP),C57BL/6J,,Charles River,4,ID: 919179,2020-01-13 23:39:16
28e692f5-8357-4fd1-be11-22943c560006,CSHL060,M,2019-10-15,LL,C57BL/6J,,Jax,3,,2020-01-13 23:39:17
2bc03c63-c266-43bf-905e-5aa6ea71a294,ibl_witten_11,F,2019-03-19,NA,C57BL/6J,,,3,,2019-09-18 01:17:37
2caff203-fde7-4052-a3d2-6bf9c80384d1,ZFM-02373,M,2020-12-20,back headplate,C57BL/6J,C57BL/6J,Charles River,1,,2021-03-10 04:31:15
2cbfb932-ed7e-47b1-893f-100f9329c21c,KS003,M,2018-10-30,,C57BL/6J,,,3,,2020-01-13 23:39:18
2d7990ce-df8c-48f6-970f-7043fc78b80b,NYU-21,F,2019-12-31,,C57BL/6J,,Jax,1,,2020-09-24 00:07:33
2f1b7046-9c58-4076-a7c5-7c386293dc89,DY_006,M,2019-03-20,none,C57BL/6J,,Jax,3,,2019-09-18 01:17:37
311c6a84-e1cf-40b8-b75f-d86032ee00c8,NYU-30,M,2020-05-19,,C57BL/6J,C57BL/6J,Jax,1,,2020-07-14 04:48:09
31b27d1f-4b3c-465f-a6bf-32e870797b4a,ZM_3003,M,2019-11-10,B,C57BL/6J,,Charles River,3,,2020-09-24 00:07:33
33eeea5f-f287-4234-85bd-512900d63c1f,SWC_017,F,2019-05-07,L (Mid HP),C57BL/6J,,Charles River,4,ID: 968399,2020-01-13 23:39:19
34ff50d4-42cf-41f7-8c38-ab631ca84d74,IBL-T4,F,2018-11-27,4,,,,1,,2020-01-13 23:39:19
354e6122-de4a-4945-bafd-d46df65768f6,KS016,M,2019-06-18,,C57BL/6J,,,3,,2019-09-18 01:17:37
35fe62cc-a0f0-4dae-abba-413b7da5baa8,NYU-24,M,2020-01-07,,C57BL/6J,,Jax,1,,2020-09-24 00:07:33
3614ee37-c892-4eb4-ab83-f6c1f3804977,CSHL055,F,2019-08-13,LL,C57BL/6J,,Jax,3,,2020-01-13 23:39:20
369756c4-59bb-4349-9e8c-cc364bd6e613,ZFM-01936,F,2020-08-23,,C57BL/6J,C57BL/6J,Charles River,3,,2020-11-17 04:11:48
3899bc0a-d7b5-4914-a76f-a4f4fdd99f98,ZM_1089,M,2018-10-23,RLF,C57BL/6J,,Jax,3,,2020-01-13 23:39:21
